@RELATION BombType

@ATTRIBUTE Type {C4, Nuke, DirtyBomb, FakeBomb, HomeMadeBomb, Dynamite, ChemicalBomb}
@ATTRIBUTE Size {TINY, SMALL, MEDIUM, BIG, VERY_BIG}
@ATTRIBUTE Active {true, false}
@ATTRIBUTE Victims NUMERIC
@ATTRIBUTE ZERO {true, false}

@DATA
DirtyBomb,BIG,true,159,false
Nuke,BIG,true,0,false
HomeMadeBomb,VERY_BIG,true,826,false
DirtyBomb,SMALL,true,159,false
C4,TINY,true,320,false
DirtyBomb,SMALL,true,0,false
HomeMadeBomb,SMALL,true,836,false
HomeMadeBomb,VERY_BIG,true,94,false
Dynamite,MEDIUM,true,403,false
ChemicalBomb,MEDIUM,true,13,false
ChemicalBomb,VERY_BIG,true,402,false
Nuke,SMALL,true,0,false
DirtyBomb,BIG,true,922,false
DirtyBomb,VERY_BIG,true,821,false
Dynamite,MEDIUM,true,270,false
Nuke,TINY,true,923,false
FakeBomb,VERY_BIG,true,712,true
ChemicalBomb,BIG,true,126,false
ChemicalBomb,VERY_BIG,true,791,false
DirtyBomb,MEDIUM,true,230,false
Nuke,VERY_BIG,false,308,true
ChemicalBomb,VERY_BIG,true,655,false
Dynamite,TINY,true,372,false
FakeBomb,BIG,true,812,true
Dynamite,VERY_BIG,true,948,false
DirtyBomb,BIG,true,516,false
Dynamite,MEDIUM,false,0,true
DirtyBomb,SMALL,true,639,false
DirtyBomb,VERY_BIG,true,311,false
C4,MEDIUM,true,889,false
Nuke,MEDIUM,false,68,true
HomeMadeBomb,SMALL,true,509,false
Dynamite,MEDIUM,true,0,false
Nuke,SMALL,true,453,false
C4,VERY_BIG,true,445,false
FakeBomb,MEDIUM,true,578,true
DirtyBomb,VERY_BIG,true,839,false
ChemicalBomb,VERY_BIG,true,435,false
ChemicalBomb,TINY,true,835,false
DirtyBomb,VERY_BIG,true,845,false
DirtyBomb,VERY_BIG,true,198,false
Nuke,SMALL,true,242,false
HomeMadeBomb,SMALL,true,0,false
FakeBomb,MEDIUM,true,651,true
FakeBomb,VERY_BIG,true,10,true
FakeBomb,TINY,true,735,true
Nuke,MEDIUM,true,0,false
DirtyBomb,SMALL,true,530,false
HomeMadeBomb,VERY_BIG,false,783,true
C4,SMALL,true,333,false
FakeBomb,MEDIUM,true,807,true
HomeMadeBomb,SMALL,true,873,false
Dynamite,VERY_BIG,true,794,false
HomeMadeBomb,BIG,true,713,false
DirtyBomb,BIG,true,838,false
FakeBomb,TINY,true,0,true
ChemicalBomb,VERY_BIG,true,628,false
FakeBomb,SMALL,true,590,true
C4,SMALL,true,92,false
Nuke,BIG,true,154,false
HomeMadeBomb,VERY_BIG,false,524,true
Nuke,BIG,true,0,false
HomeMadeBomb,BIG,false,323,true
Dynamite,BIG,true,382,false
C4,SMALL,false,662,true
C4,BIG,true,561,false
FakeBomb,MEDIUM,true,494,true
ChemicalBomb,TINY,false,471,true
C4,MEDIUM,false,223,true
